Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/web_doc_truyen/frontend/view/log/login.html,100,0,27,28.527597000003198,15.803499999947235,66.18720000005851,3926.0,1.7109543491764994,0.0,27,29,31,32,44,49,51,66,66,66,66
GET,Chuong - add,733,0,5,4.950355934515706,1.8542999999908716,61.06729999999061,4709.0,12.54129537946374,0.0,5,5,5,6,7,7,9,13,61,61,61
GET,Chuong - delete,733,0,4,4.068340791266783,1.3939000000391388,61.60209999995914,4831.0,12.54129537946374,0.0,4,4,4,5,5,6,7,18,62,62,62
GET,Chuong - edit,733,0,4,3.5236915416140127,1.336599999945065,32.36409999999523,6981.0,12.54129537946374,0.0,4,4,4,4,4,5,6,10,32,32,32
GET,Trang chu,1113,0,5,5.05759209344329,1.4665999999579071,60.94980000000305,10713.0,19.04292190633444,0.0,5,5,6,6,7,8,9,12,48,61,61
,Aggregated,3412,0,4,5.180372303635494,1.336599999945065,66.18720000005851,7158.869284876905,58.37776239390216,0.0,4,5,5,5,7,8,27,32,61,66,66
